dates,ACO_155106,AMBAR_151211,ANDAJES_155201,CAJATAMBO_000540,CHAMANA_150900,CHAVIN_000445,CHIQUIAN_000538,COCHAQUILLO_000545,DOS DE MAYO_004450,GORGOR_151208,LAGUNA COCHAQUILLO_155291,LAGUNA SURASACA_155206,MAYORARCA_150903,OCROS_155105,OYON_000541,PACCHO_155200,PAMPA LIBRE_155107,PARQUIN_155212,PICOY_000542,RECUAY_000441,YANAHUANCA_000475,PACHACOTO_155414,QUEROCOCHA_000429,SHACAYPAMPA_155411
1970-01-01,94.6,NA,147.7,NA,NA,NA,145.2,NA,NA,NA,NA,NA,NA,NA,116.8,NA,NA,165.4,NA,126.9,NA,113,212.8,111.9
1970-02-01,8.8,NA,43.2,NA,NA,NA,91.2,NA,NA,NA,NA,NA,NA,NA,52.1,NA,NA,79.6,NA,57.1,NA,89.3,129.5,46.2
1970-03-01,25.7,NA,88.7,NA,NA,NA,114.7,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,83.4,NA,86.9,NA,83.8,105.2,90.8
1970-04-01,17.7,NA,53.8,NA,NA,NA,100.4,NA,NA,NA,NA,NA,NA,11.3,72.5,NA,NA,96.1,NA,133.5,NA,75.9,135.3,85.7
1970-05-01,10.1,NA,16.9,NA,NA,NA,44.3,NA,NA,NA,NA,NA,NA,3.3,23,NA,NA,23.6,NA,42.9,NA,36.5,72.6,42.5
1970-06-01,0,NA,0.3,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,1.7,2.1,NA,NA,2.7,0,6,NA,0,NA,0
1970-07-01,0,NA,0.5,NA,NA,NA,0.4,10.2,NA,NA,NA,NA,NA,0,4.8,NA,NA,1.8,NA,0,NA,0,12.5,0
1970-08-01,0,NA,0.2,NA,NA,NA,5.4,3.1,NA,NA,NA,NA,NA,0,7.3,NA,NA,5.5,NA,14.3,NA,4.9,7.5,7.3
1970-09-01,9,NA,32.1,NA,NA,NA,68.1,87.6610169491525,NA,NA,NA,NA,NA,0,53,NA,NA,64.6,NA,94.9,NA,84.5,109.1,58.9
1970-10-01,0.3,NA,32.3,NA,NA,NA,69.2,90.1540983606558,NA,NA,NA,NA,NA,10.1,59.4,NA,NA,43.7,NA,172.5,NA,40.7,123.5,60.2
1970-11-01,8.8,NA,35.9,NA,NA,NA,65.3,67.4,NA,NA,NA,NA,NA,12.2,42.8,NA,NA,43.8,44,200.5,NA,59,108,73.4
1970-12-01,9.8,NA,68,NA,NA,NA,133.6,145,NA,NA,NA,NA,NA,6.8,103.570491803279,NA,NA,95.6,66.2688524590164,182.3,NA,56.4,191.4,131.2
1971-01-01,29.5,NA,59.5,NA,NA,NA,76,101,NA,NA,NA,NA,NA,17.2,93.2032786885246,NA,NA,73.7,NA,64.5,NA,59,149.8,61.1
1971-02-01,29.9,NA,122.1,NA,NA,NA,150.8,141.3,NA,NA,NA,NA,NA,47.5,121.1,NA,NA,128.5,102.530909090909,93.1,NA,117.3,170.9,138.6
1971-03-01,39.7,NA,169,NA,NA,NA,185.6,166.4,NA,NA,NA,NA,NA,84.4,154.1,NA,NA,195.9,141.1,200.1,NA,133.7,240,153.1
1971-04-01,11.9,NA,26.6,NA,NA,NA,44.4,67.9,NA,NA,NA,NA,NA,21.1,39.5593220338983,NA,NA,51.5,34.9,44.6,NA,27.9,87,38.3
1971-05-01,0,NA,0,NA,NA,NA,6.1,10.2,NA,NA,NA,NA,NA,2.1,4.47213114754098,NA,NA,5.3,5.3,0,NA,0,31.2,7.3
1971-06-01,0,NA,NA,NA,NA,NA,0.5,2,NA,NA,NA,NA,NA,0,1.42372881355932,NA,NA,0,0,3.9,NA,0,27,0
1971-07-01,0,NA,NA,NA,NA,NA,0,0.711475409836065,NA,NA,NA,NA,NA,0,0.304918032786885,NA,NA,0,0,0,NA,0,6.7,0
1971-08-01,0,NA,NA,NA,NA,NA,48.2,27.544262295082,NA,NA,NA,NA,NA,0,16.1606557377049,NA,NA,5.4,7,16,NA,16.5,49.6,29.8
1971-09-01,0,NA,0.2,NA,NA,NA,17.4,34.271186440678,NA,NA,NA,NA,NA,0,5,NA,NA,10.9,5,18.2,NA,0,38.8,9.7
1971-10-01,7.3,NA,18.2,NA,NA,NA,42.1,62.8131147540984,NA,NA,NA,NA,NA,7.7,45.6360655737705,NA,NA,16.3,12.8,67.4,NA,25,97.7,24.9
1971-11-01,5.4,NA,7.9,NA,NA,NA,20.5,54.4,NA,NA,NA,NA,NA,5,46.3,NA,NA,25.6,25.6,68.8,NA,56.5,74.4,49.8
1971-12-01,13.5,NA,65.8,NA,NA,NA,120.2,154.6,NA,NA,NA,NA,NA,24.3,111.803278688525,NA,NA,NA,93.5,153,NA,91.2,174.2,108.1
1972-01-01,41.4,NA,109.1,NA,NA,NA,NA,129.3,NA,NA,NA,NA,NA,64.8,88.2,NA,NA,131,105.5,105.1,NA,69.8,161.4,90
1972-02-01,34.6,NA,86,NA,NA,NA,135.536842105263,110.3,NA,NA,NA,NA,NA,87.6,72.7,NA,NA,105.8,99.1,111.8,NA,52.9,164.4,128.8
1972-03-01,156.8,NA,250.9,NA,NA,NA,NA,270.1,NA,NA,NA,NA,NA,204.9,203.9,NA,NA,283.1,242.4,232.8,NA,338.4,252.4,287.1
1972-04-01,7.4,NA,51.1,NA,NA,NA,NA,141.5,NA,NA,NA,NA,NA,18.7,93.5593220338983,NA,NA,81.3,64,88.2,NA,45.5,NA,104.4
1972-05-01,0,NA,0,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,0,0.101639344262295,NA,NA,0,0,22.7,NA,6.1,54.8,14.6
