dates,Cahua
2000-01-01,43.3802816901408
2000-02-01,98.6896551724138
2000-03-01,103.096774193548
2000-04-01,70.7666666666667
2000-05-01,40.5483870967742
2000-06-01,29.4
2000-07-01,23.0759493670886
2000-08-01,14.1612903225806
2000-09-01,12.7333333333333
2000-10-01,18.6774193548387
2000-11-01,15.6333333333333
2000-12-01,33.741935483871
2001-01-01,115.629032258065
2001-02-01,92.5773809523809
2001-03-01,147.034408602151
2001-04-01,84.0888888888889
2001-05-01,60.7096774193548
2001-06-01,33.7
2001-07-01,24.5108695652174
2001-08-01,17.4301075268817
2001-09-01,15.9833333333333
2001-10-01,20.6623655913979
2001-11-01,46.6111111111111
2001-12-01,49.7634408602151
2002-01-01,40.0645161290323
2002-02-01,70.5059523809524
2002-03-01,98.3763440860215
2002-04-01,75.1
2002-05-01,31.0989247311828
2002-06-01,21.0838888888889
2002-07-01,18.1241935483871
2002-08-01,16.1348387096774
2002-09-01,13.702
2002-10-01,20.9870967741935
2002-11-01,37.3826666666667
2002-12-01,47.9697849462366
2003-01-01,52.6483870967742
2003-02-01,62.4642857142857
2003-03-01,88.247311827957
2003-04-01,51.1444444444444
2003-05-01,27.2903225806452
2003-06-01,17.7105555555556
2003-07-01,14.29
2003-08-01,11.182688172043
2003-09-01,12.3461111111111
2003-10-01,13.1967741935484
2003-11-01,15.5566666666667
2003-12-01,45.4204301075269
2004-01-01,29.3204301075269
2004-02-01,59.148275862069
2004-03-01,43.6720430107527
2004-04-01,36.0944444444444
2004-05-01,17.6236559139785
2004-06-01,12.7755555555556
2004-07-01,10.7333333333333
2004-08-01,9.89677419354839
2004-09-01,10.8733333333333
2004-10-01,21.9430107526882
2004-11-01,35.2733333333333
2004-12-01,42.1849462365591
2005-01-01,46.0021505376344
2005-02-01,45.552380952381
2005-03-01,57.9591397849462
2005-04-01,43.1377777777778
2005-05-01,19.405376344086
2005-06-01,14.5677777777778
2005-07-01,12.6430107526882
2005-08-01,11.4096774193548
2005-09-01,11.7344444444444
2005-10-01,NA
2005-11-01,NA
2005-12-01,NA
2006-01-01,NA
2006-02-01,NA
2006-03-01,NA
2006-04-01,NA
2006-05-01,NA
2006-06-01,NA
2006-07-01,NA
2006-08-01,NA
2006-09-01,NA
2006-10-01,NA
2006-11-01,NA
2006-12-01,NA
2007-01-01,NA
2007-02-01,NA
2007-03-01,NA
2007-04-01,NA
2007-05-01,NA
2007-06-01,NA
2007-07-01,NA
2007-08-01,NA
2007-09-01,NA
2007-10-01,NA
2007-11-01,NA
2007-12-01,NA
2008-01-01,53.7064516129032
2008-02-01,57.5091954022989
2008-03-01,54.0193548387097
2008-04-01,51.65
2008-05-01,23.747311827957
2008-06-01,16.9422222222222
2008-07-01,13.1182795698925
2008-08-01,11.689247311828
2008-09-01,11.321
2008-10-01,17.8236559139785
2008-11-01,22.1833333333333
2008-12-01,30.3440860215054
2009-01-01,49.0720430107527
2009-02-01,76.375
2009-03-01,93.5838709677419
2009-04-01,79.6411111111111
2009-05-01,38.9408602150538
2009-06-01,22.2844444444444
2009-07-01,16.3602150537634
2009-08-01,14.8967741935484
2009-09-01,14.0311111111111
2009-10-01,22.5247311827957
2009-11-01,34.2211111111111
2009-12-01,59.4236559139785
2010-01-01,56.3290322580645
2010-02-01,61.9833333333333
2010-03-01,72.1064516129032
2010-04-01,57.6077777777778
2010-05-01,28.0755913978495
2010-06-01,16.9744444444444
2010-07-01,14.9397849462366
2010-08-01,13.558064516129
2010-09-01,12.55
2010-10-01,14.4236559139785
2010-11-01,23.4022222222222
2010-12-01,53.2989247311828
2011-01-01,72.3795698924731
2011-02-01,79.1559523809524
2011-03-01,74.5204301075269
2011-04-01,74.8888888888889
2011-05-01,34.5440860215054
2011-06-01,18.38
2011-07-01,15.5483870967742
2011-08-01,13.5344086021505
2011-09-01,12.3944444444444
2011-10-01,13.4462365591398
2011-11-01,23.8073333333333
2011-12-01,51.1172043010753
2012-01-01,62.3731182795699
2012-02-01,89.2
2012-03-01,77.6978494623656
2012-04-01,84.3766666666667
2012-05-01,40.7344086021505
2012-06-01,19.7933333333333
2012-07-01,15.3527956989247
2012-08-01,13.4774193548387
2012-09-01,13.5688888888889
2012-10-01,16.6645161290323
2012-11-01,32.6177777777778
2012-12-01,39.0247311827957
2013-01-01,48.5193548387097
2013-02-01,71.8785714285714
2013-03-01,91.6408602150538
2013-04-01,54.4344444444444
2013-05-01,22.1677419354839
2013-06-01,18.7422222222222
2013-07-01,15.4311827956989
2013-08-01,13.610752688172
2013-09-01,12.3122222222222
2013-10-01,20.5956989247312
2013-11-01,25.1511111111111
2013-12-01,42.6376344086022
2014-01-01,57.3645161290323
2014-02-01,77.4761904761905
2014-03-01,107.308602150538
2014-04-01,53.03
2014-05-01,43.8408602150538
2014-06-01,19.38
2014-07-01,15.2530107526882
2014-08-01,12.8387096774194
2014-09-01,12.99
2014-10-01,17.4666666666667
2014-11-01,22.0888744444444
2014-12-01,38.3989247311828
2015-01-01,69.2849462365591
2015-02-01,71.4011904761905
2015-03-01,89.5440860215054
2015-04-01,65.7833333333333
2015-05-01,33.9075268817204
2015-06-01,20.0822222222222
2015-07-01,15.3870967741935
2015-08-01,12.9935483870968
2015-09-01,13.7322222222222
2015-10-01,16.7182795698925
2015-11-01,27.5677777777778
2015-12-01,39.3881720430108
2016-01-01,32.8387096774194
2016-02-01,61.0758620689655
2016-03-01,65.6322580645161
2016-04-01,47.7255555555556
2016-05-01,20.8881720430108
2016-06-01,14.5755555555556
2016-07-01,11.1548387096774
2016-08-01,11.3516129032258
2016-09-01,12.2
2016-10-01,15.1989247311828
2016-11-01,21.8733333333333
2016-12-01,21.6559139784946
2017-01-01,60.5247311827957
2017-02-01,75.6833333333333
2017-03-01,108.701075268817
2017-04-01,57.8733333333333
2017-05-01,38.7086021505376
2017-06-01,26.2088888888889
2017-07-01,15.6677419354839
2017-08-01,12.1741935483871
2017-09-01,11.0666666666667
2017-10-01,15.6430107526882
2017-11-01,NA
2017-12-01,NA
2018-01-01,NA
2018-02-01,NA
2018-03-01,NA
2018-04-01,NA
2018-05-01,NA
2018-06-01,NA
2018-07-01,NA
2018-08-01,NA
2018-09-01,NA
2018-10-01,NA
2018-11-01,NA
2018-12-01,NA
2019-01-01,NA
2019-02-01,NA
2019-03-01,95.970493814433
2019-04-01,57.3164777777778
2019-05-01,29.7935591397849
2019-06-01,15.5341222222222
2019-07-01,14.0660903225806
2019-08-01,12.3097387096774
2019-09-01,12.3315444444444
2019-10-01,15.0514838709677
2019-11-01,22.6651222222222
2019-12-01,71.0674494623656
2020-01-01,45.6675724137931
2020-02-01,64.9144793103448
2020-03-01,65.6423928571429
2020-04-01,44.3858555555556
2020-05-01,35.324011827957
2020-06-01,15.1543222222222
2020-07-01,11.8992307692308
2020-08-01,11.0941075268817
2020-09-01,14.8113146067416
2020-10-01,16.2381720430108
2020-11-01,14.2170666666667
2020-12-01,59.5614193548387
2021-01-01,104.95864516129
2021-02-01,70.9951309523809
2021-03-01,85.7263440860215
2021-04-01,73.3181111111111
2021-05-01,31.7909569892473
2021-06-01,18.6667777777778
2021-07-01,13.9805333333333
2021-08-01,13.2664838709677
2021-09-01,17.6075
2021-10-01,24.6711935483871
2021-11-01,24.2474888888889
2021-12-01,45.1049569892473
2022-01-01,28.8632087912088
2022-02-01,71.0741904761905
2022-03-01,100.838260869565
2022-04-01,78.2004
2022-05-01,27.4133333333333
2022-06-01,16.8271222222222
2022-07-01,12.3908559139785
2022-08-01,13.6472043010753
2022-09-01,16.5805777777778
2022-10-01,12.2222150537634
2022-11-01,11.1218933333333
2022-12-01,16.8508290322581
2023-01-01,NA
