dates,ACO_155106,AMBAR_151211,ANDAJES_155201,CAJATAMBO_000540,CHIQUIAN_000538,GORGOR_151208,LAGUNA SURASACA_155206,MAYORARCA_150903,OCROS_155105,OYON_000541,PAMPA LIBRE_155107,PACHACOTO_155414,QUEROCOCHA_000429,SHACAYPAMPA_155411
1970-01-01,94.6,82.665,147.7,206.4,145.2,211.168,189.649,129.378,102.868,116.8,37.48,113,212.8,111.9
1970-02-01,8.8,24.178,43.2,60.369,91.2,61.764,84.595,57.711,30.087,52.1,10.962,89.3,129.5,46.2
1970-03-01,25.7,49.644,88.7,123.952,114.7,126.815,165.618,112.984,61.776,102,22.508,83.8,105.2,90.8
1970-04-01,17.7,8.114,53.8,75.182,100.4,76.918,117.719,80.308,11.3,72.5,3.519,75.9,135.3,85.7
1970-05-01,10.1,2.37,16.9,23.617,44.3,24.162,37.345,25.477,3.3,23,1.028,36.5,72.6,42.5
1970-06-01,0,1.221,0.3,0.419,6.1,0.429,3.41,2.326,1.7,2.1,0.529,0,3.361,0
1970-07-01,0,0,0.5,0.699,0.4,0.715,7.794,5.317,0,4.8,0,0,12.5,0
1970-08-01,0,0,0.2,0.279,5.4,0.286,11.853,8.086,0,7.3,0,4.9,7.5,7.3
1970-09-01,9,0,32.1,44.857,68.1,45.894,86.057,58.708,0,53,0,84.5,109.1,58.9
1970-10-01,0.3,7.252,32.3,45.137,69.2,46.18,96.448,65.797,10.1,59.4,3.145,40.7,123.5,60.2
1970-11-01,8.8,8.76,35.9,50.168,65.3,51.327,69.495,47.409,12.2,42.8,3.799,59,108,73.4
1970-12-01,9.8,4.883,68,95.025,133.6,97.22,168.168,114.724,6.8,103.570491803279,2.118,56.4,191.4,131.2
1971-01-01,29.5,12.351,59.5,83.147,76,85.068,151.335,103.24,17.2,93.2032786885246,5.357,59,149.8,61.1
1971-02-01,29.9,34.108,122.1,170.626,150.8,174.568,196.631,134.141,47.5,121.1,14.793,117.3,170.9,138.6
1971-03-01,39.7,60.605,169,236.165,185.6,241.621,250.214,170.695,84.4,154.1,26.284,133.7,240,153.1
1971-04-01,11.9,15.151,26.6,37.172,44.4,38.03,64.233,43.819,21.1,39.5593220338983,6.571,27.9,87,38.3
1971-05-01,0,1.508,0,0,6.1,0,7.261,4.954,2.1,4.47213114754098,0.654,0,31.2,7.3
1971-06-01,0,0,1.17,1.709,0.5,0.466,2.312,1.577,0,1.42372881355932,0,0,27,0
1971-07-01,0,0,0.251,0.366,0,0,0.495,0.338,0,0.304918032786885,0,0,6.7,0
1971-08-01,0,0,13.283,19.398,48.2,44.919,26.24,17.901,0,16.1606557377049,0,16.5,49.6,29.8
1971-09-01,0,0,0.2,0.279,17.4,0.286,8.119,5.538,0,5,0,0,38.8,9.7
1971-10-01,7.3,5.529,18.2,25.433,42.1,26.021,74.1,50.551,7.7,45.6360655737705,2.398,25,97.7,24.9
1971-11-01,5.4,3.59,7.9,11.04,20.5,11.295,75.178,51.286,5,46.3,1.557,56.5,74.4,49.8
1971-12-01,13.5,17.449,65.8,91.951,120.2,94.075,181.536,123.843,24.3,111.803278688525,7.568,91.2,174.2,108.1
1972-01-01,41.4,46.531,109.1,152.459,150.089,155.982,143.211,97.698,64.8,88.2,20.18,69.8,161.4,90
1972-02-01,34.6,62.903,86,120.179,135.536842105263,122.955,118.044,80.529,87.6,72.7,27.281,52.9,164.4,128.8
1972-03-01,156.8,147.132,250.9,350.615,345.163,358.715,331.074,225.858,204.9,203.9,63.811,338.4,252.4,287.1
1972-04-01,7.4,13.428,51.1,71.409,70.298,73.058,151.913,103.635,18.7,93.5593220338983,5.824,45.5,149.747,104.4
1972-05-01,0,0,0,0,0,0,0.165,0.113,0,0.101639344262295,0,6.1,54.8,14.6
1972-06-01,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0
1972-07-01,0,1.077,0,0,0,2.478,0,0,1.5,0,0.467,0,0.5,0
1972-08-01,0,0,9.774,14.274,14.132,0,19.309,13.172,0,11.8918032786885,0,6.1,14.8,7.7
1972-09-01,0,0.933,25.891,37.811,37.434,2.147,51.147,34.892,1.3,31.5,0.405,6.6,28,9.7
1972-10-01,4.3,4.021,16.872131147541,23.578,23.211,24.122,62.026,42.314,5.6,38.2,1.744,21.9,49.3,20
1972-11-01,3.4,10.627,26.713,39.011,38.622,24.448,52.771,36,14.8,32.5,4.609,27.3,46.9,15.2
1972-12-01,25.6,39.207,61.7,86.221,87.0254545454546,88.213,90.116,61.477,54.6,55.5,17.004,57.3,109,48.6
1973-01-01,44.7,79.131,141.4,197.596,244.9,202.161,191.438,130.598,110.2,117.901639344262,34.319,89.4,145.2,86.3
1973-02-01,28.5,21.757,105.4,147.289,183,150.692,165.294,112.763,30.3,101.8,9.436,86.4,189,122.2
1973-03-01,34.7,53.783,144.1,201.369,217.9,206.021,188.837,128.824,74.9,116.3,23.326,122.1,176.4,143.9
1973-04-01,12.4,12.925,77.6,108.44,128.4,110.946,153.928,105.009,18,94.8,5.606,100.9,135.5,97.2
1973-05-01,0,5.17,23,32.141,13.9,32.883,73.605,50.213,7.2,45.3311475409836,2.242,24.3,28.5,41.9
1973-06-01,0,0,0,0,0,0,2.147,1.464,0,1.32203389830508,0,2.4,20.4,41.9
