RCM,GCM,name,scenario,dates,PET
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-01-01,32.5181400359099
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-02-01,35.5028855645471
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-03-01,41.3563868160238
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-04-01,55.7190763208618
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-05-01,74.5307535224438
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-06-01,76.1230541490488
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-07-01,84.5923681766066
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-08-01,97.9284043310951
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-09-01,90.1837380685657
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-10-01,74.8221024803356
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-11-01,61.5527673500866
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-12-01,69.3241829779688
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-01-01,64.0777136554196
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-02-01,45.066184376023
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-03-01,38.5487535169382
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-04-01,54.8629930310228
