RCM,GCM,name,scenario,dates,pr
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1970-01-01,7225.38761788355
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1971-01-01,6697.20031750997
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1972-01-01,7694.25913746501
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1973-01-01,6877.66678781688
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1974-01-01,6819.0715253333
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1975-01-01,7285.21073309164
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1976-01-01,9000.62728399507
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1977-01-01,7549.56822954684
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1978-01-01,6913.3686199549
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1979-01-01,5991.93495865609
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1980-01-01,7986.08793281259
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1981-01-01,6755.84822851058
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1982-01-01,7824.0371046713
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1983-01-01,8572.01566175458
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1984-01-01,8733.78069515996
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1985-01-01,6638.08725700882
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1986-01-01,6848.94102995536
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1987-01-01,7375.45798309221
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1988-01-01,6286.94489113667
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1989-01-01,6884.34117924368
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1990-01-01,6952.27338141036
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1991-01-01,7077.06286105772
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1992-01-01,7289.25507417563
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1993-01-01,6405.67539311236
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1994-01-01,7438.07627853557
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1995-01-01,8116.43286742918
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1996-01-01,7332.67752100742
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1997-01-01,5638.72059128694
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1998-01-01,6388.79280869461
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,1999-01-01,7386.02663407492
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,2000-01-01,8020.65624719832
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,2001-01-01,7408.57116677698
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,2002-01-01,6430.99809406077
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,2003-01-01,5625.7519570401
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,2004-01-01,7616.15495987349
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,historical,2005-01-01,5421.95984004246
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2005-01-01,701.007282224161
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2006-01-01,6611.71829550312
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2007-01-01,7155.97935123365
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2008-01-01,6832.28494354921
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2009-01-01,5834.3786647475
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2010-01-01,6526.77224609993
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2011-01-01,5910.29586265317
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2012-01-01,5892.29321169154
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2013-01-01,6446.26478780777
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2014-01-01,6504.57727271342
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2015-01-01,7263.67154013509
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2016-01-01,7116.38115417925
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2017-01-01,6418.15203750037
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2018-01-01,5922.20082069251
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2019-01-01,6596.67340403784
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2020-01-01,5678.87806848461
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2021-01-01,5520.57223612118
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2022-01-01,6613.34645271374
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2023-01-01,6357.03246170946
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2024-01-01,6358.15503917751
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2025-01-01,6033.45562772174
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2026-01-01,7517.59754706345
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2027-01-01,6229.26911555803
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2028-01-01,4790.42058200453
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2029-01-01,6317.31172536827
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2030-01-01,5381.07036284601
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2031-01-01,5749.5133369853
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2032-01-01,6215.43560674795
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2033-01-01,5511.77946888791
ICTP-RegCM4-3,MOHC-HadGEM2-ES,ICTP-RegCM4-3_MOHC-HadGEM2-ES,rcp45,2034-01-01,5673.00229402044
