RCM,GCM,name,scenario,dates,pr
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-01-01,330.334375886836
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-02-01,293.339146911694
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-03-01,288.978427164054
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-04-01,209.659303716743
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-05-01,57.705205676996
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-06-01,16.1762049016184
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-07-01,14.9599098891253
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-08-01,15.7797680037022
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-09-01,71.4946385023601
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-10-01,161.324211280186
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-11-01,143.727227198424
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1951-12-01,148.401134212719
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-01-01,214.499903580218
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-02-01,266.739008009414
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-03-01,469.812739588435
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-04-01,231.469317252899
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-05-01,62.0989519127402
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-06-01,9.72464500014722
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-07-01,12.4612312116782
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-08-01,13.7018054105567
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-09-01,77.7705073515786
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-10-01,115.715833951657
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1952-11-01,158.052673497757
