RCM,GCM,name,scenario,dates,PET
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1981-01-01,61.049746656434
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1981-02-01,59.8342172379266
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1981-03-01,60.9532483415186
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1981-04-01,73.5052231942609
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1981-05-01,72.5808827780135
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1981-06-01,80.1695633546503
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1981-07-01,85.2058937210512
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1981-08-01,83.9398209226675
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1981-09-01,88.57769212176
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1981-10-01,75.0279406228883
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1981-11-01,70.7419759583926
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1981-12-01,71.3538124216687
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1982-01-01,68.7024555406138
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1982-02-01,66.6808650303905
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1982-03-01,77.2140430979725
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1982-04-01,85.3608006819223
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1982-05-01,86.9469591882921
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1982-06-01,82.6938118764384
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1982-07-01,89.7898592534443
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1982-08-01,84.3262301370371
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1982-09-01,82.1854580501686
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1982-10-01,76.4009632645059
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1982-11-01,70.7038257171132
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1982-12-01,67.4690096721986
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1983-01-01,61.7684262590921
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1983-02-01,63.4692907869721
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1983-03-01,62.2586922648769
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1983-04-01,70.6054749485105
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1983-05-01,74.9566442480287
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1983-06-01,79.3641963371728
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1983-07-01,79.2455516741595
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1983-08-01,83.0966968274248
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1983-09-01,78.4083079718553
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1983-10-01,69.786268632361
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1983-11-01,65.8948446476542
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1983-12-01,61.423611314955
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1984-01-01,60.130439947322
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1984-02-01,61.0961050284206
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1984-03-01,62.8053990735925
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1984-04-01,70.6269814479315
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1984-05-01,69.2608013771097
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1984-06-01,78.1902417731514
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1984-07-01,84.0610102238395
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1984-08-01,87.8217824999498
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1984-09-01,80.2358961413685
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1984-10-01,71.3120237739992
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1984-11-01,71.0620566556966
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1984-12-01,63.440607420966
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1985-01-01,65.5137353478083
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1985-02-01,60.2673010026408
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1985-03-01,71.316191554501
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1985-04-01,73.6645615508164
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1985-05-01,81.1171731019957
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1985-06-01,81.2111229606635
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1985-07-01,85.9489824485925
SMHI-RCA4,CCCma-CanESM2,SMHI-RCA4_CCCma-CanESM2,historical,1985-08-01,83.627942114236
